Data,Valor Real,Valor Previsto,Resíduo
1921-01-01,229,1046.76350445045,-817.76350445045
1922-01-01,399,2257.8692754867097,-1858.8692754867097
1923-01-01,1132,3112.0427283092386,-1980.0427283092386
1924-01-01,2432,3283.6020063948336,-851.6020063948336
1925-01-01,3574,2735.4790261242783,838.5209738757217
1926-01-01,2935,1704.4533816317817,1230.5466183682183
1927-01-01,1537,616.1106572168478,920.8893427831522
1928-01-01,529,-81.1217989107704,610.1217989107704
1929-01-01,485,-99.68881592121943,584.6888159212194
1930-01-01,662,567.2691680720616,94.73083192793842
1931-01-01,1000,1642.7382956533493,-642.7382956533493
1932-01-01,1590,2680.817485680235,-1090.8174856802352
1933-01-01,2657,3251.68177325369,-594.6817732536902
1934-01-01,3396,3119.6016055149676,276.39839448503244
