Data,Valor Real,Valor Previsto,Resíduo
1921-01-01,-11.5,-26.0,14.5
1922-01-01,-11.900000000000002,-26.0,14.099999999999998
1923-01-01,-8.399999999999999,-26.0,17.6
1924-01-01,10.899999999999999,-26.0,36.9
1925-01-01,27.599999999999998,-26.0,53.599999999999994
1926-01-01,19.6,-26.0,45.6
1927-01-01,5.100000000000001,-26.0,31.1
1928-01-01,8.799999999999997,-26.0,34.8
1929-01-01,-12.899999999999991,-26.0,13.100000000000009
1930-01-01,-29.200000000000003,-26.0,-3.200000000000003
1931-01-01,-14.500000000000004,-26.0,11.499999999999996
1932-01-01,-10.1,-26.0,15.9
1933-01-01,-5.3999999999999995,-26.0,20.6
1934-01-01,2.999999999999999,-26.0,29.0
1935-01-01,27.400000000000002,-26.0,53.400000000000006
1936-01-01,43.6,-26.0,69.6
1937-01-01,34.7,-26.0,60.7
1938-01-01,-4.800000000000011,-26.0,21.19999999999999
1939-01-01,-20.799999999999997,-26.0,5.200000000000003
1940-01-01,-21.0,-26.0,5.0
1941-01-01,-20.299999999999997,-26.0,5.700000000000003
1942-01-01,-16.9,-26.0,9.100000000000001
1943-01-01,-14.3,-26.0,11.7
1944-01-01,-6.700000000000001,-26.0,19.299999999999997
1945-01-01,23.6,-26.0,49.6
1946-01-01,59.39999999999999,-26.0,85.39999999999999
1947-01-01,59.0,-26.0,85.0
1948-01-01,-15.299999999999983,-26.0,10.700000000000017
1949-01-01,-1.6000000000000227,-26.0,24.399999999999977
1950-01-01,-50.79999999999998,-26.0,-24.799999999999983
1951-01-01,-14.5,-26.0,11.5
1952-01-01,-37.900000000000006,-26.0,-11.900000000000006
1953-01-01,-17.6,-26.0,8.399999999999999
1954-01-01,-9.5,-26.0,16.5
1955-01-01,33.6,-26.0,59.6
1956-01-01,103.69999999999999,-26.0,129.7
1957-01-01,48.5,-26.0,74.5
1958-01-01,-5.399999999999977,-26.0,20.600000000000023
1959-01-01,-25.80000000000001,-26.0,0.19999999999998863
1960-01-01,-46.7,-26.0,-20.700000000000003
1961-01-01,-58.4,-26.0,-32.4
1962-01-01,-16.4,-26.0,9.600000000000001
1963-01-01,-9.600000000000001,-26.0,16.4
1964-01-01,-17.7,-26.0,8.3
1965-01-01,4.9,-26.0,30.9
1966-01-01,31.9,-26.0,57.9
1967-01-01,46.8,-26.0,72.8
1968-01-01,12.100000000000009,-26.0,38.10000000000001
1969-01-01,-0.4000000000000057,-26.0,25.599999999999994
1970-01-01,-1.0,-26.0,25.0
1971-01-01,-37.900000000000006,-26.0,-11.900000000000006
1972-01-01,2.3000000000000114,-26.0,28.30000000000001
1973-01-01,-30.900000000000006,-26.0,-4.900000000000006
1974-01-01,-3.5,-26.0,22.5
1975-01-01,-19.0,-26.0,7.0
1976-01-01,-2.9000000000000004,-26.0,23.1
1977-01-01,14.9,-26.0,40.9
1978-01-01,65.0,-26.0,91.0
1979-01-01,62.900000000000006,-26.0,88.9
1980-01-01,-0.700000000000017,-26.0,25.299999999999983
1981-01-01,-14.199999999999989,-26.0,11.800000000000011
1982-01-01,-24.599999999999994,-26.0,1.4000000000000057
1983-01-01,-49.30000000000001,-26.0,-23.30000000000001
1984-01-01,-20.699999999999996,-26.0,5.300000000000004
1985-01-01,-28.0,-26.0,-2.0
1986-01-01,-4.499999999999998,-26.0,21.5
1987-01-01,15.799999999999999,-26.0,41.8
